Rk,Player,Tm,FantPos,Age,G,GS,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,RushY/A,RushTD,RecTgt,Rec,RecYds,RecY/R,RecTD,Fmb,FL,ScorTD,2PM,2PP,FantPT,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Year
257,John Metchie,2TM,WR,25,10,1,0,0,0,0,0,1,-7,-7.0,0,15,14,131,9.36,2,0,0,2,,,24.0,38.4,41.4,31.4,,103,,2025
258,Tommy Tremble,CAR,TE,25,12,11,0,0,0,0,0,0,0,,0,25,19,184,9.68,1,0,0,1,,,24.0,43.4,46.4,33.9,,44,,2025
259,Tyler Huntley,BAL,QB,27,2,1,27,37,254,1,0,11,92,8.36,0,0,0,0,,0,0,0,0,,,23.0,23.4,23.4,23.4,,44,,2025
260,Kalif Raymond,DET,WR,31,11,3,0,0,0,0,0,2,19,9.5,0,19,15,150,10.0,0,0,0,1,,,23.0,37.9,40.9,30.4,,105,,2025
261,Tyrell Shavers,BUF,WR,26,11,4,0,0,0,0,0,0,0,,0,17,11,172,15.64,1,0,0,1,,,23.0,34.2,37.2,28.7,,104,,2025
262,Brock Wright,DET,TE,27,11,8,0,0,0,0,0,0,0,,0,22,14,108,7.71,2,0,0,2,,,23.0,36.8,39.8,29.8,,47,,2025
263,Elijah Arroyo,SEA,TE,22,11,3,0,0,0,0,0,0,0,,0,23,15,179,11.93,1,1,1,1,,,22.0,36.9,40.9,29.4,,48,,2025
264,Tutu Atwell,LAR,WR,26,6,4,0,0,0,0,0,0,0,,0,9,4,164,41.0,1,0,0,1,,,22.0,26.4,29.4,24.4,,106,,2025
265,Trey Benson,ARI,RB,23,4,1,0,0,0,0,0,29,160,5.52,0,16,13,64,4.92,0,0,0,0,,,22.0,35.4,38.4,28.9,,67,,2025
266,Kyle Juszczyk,SFO,FB,34,12,12,0,0,0,0,0,2,-3,-1.5,0,21,18,160,8.89,1,0,0,1,,,22.0,39.7,42.7,30.7,,68,,2025
267,Antonio Gibson,NWE,RB,27,5,0,0,0,0,0,0,25,106,4.24,1,3,2,6,3.0,0,2,1,2,,,21.0,23.2,27.2,22.2,,69,,2025
268,Charlie Kolar,BAL,TE,26,11,4,0,0,0,0,0,0,0,,0,11,7,88,12.57,2,0,0,2,,,21.0,27.8,27.8,24.3,,49,,2025
269,Hunter Long,JAX,TE,27,8,3,0,0,0,0,0,0,0,,0,17,12,85,7.08,2,1,0,2,,,21.0,32.5,32.5,26.5,,50,,2025
270,Hunter Renfrow,CAR,WR,30,6,2,0,0,0,0,0,0,0,,0,26,15,89,5.93,2,0,0,2,,,21.0,35.9,35.9,28.4,,109,,2025
271,Devontez Walker,BAL,WR,24,7,1,0,0,0,0,0,0,0,,0,4,4,90,22.5,2,0,0,2,,,21.0,25.0,25.0,23.0,,108,,2025
272,Dontayvion Wicks,GNB,WR,24,9,6,0,0,0,0,0,0,0,,0,34,20,213,10.65,0,0,0,0,,,21.0,41.3,44.3,31.3,,107,,2025
